# {"t_start": 1596456284.82971, "env_id": "Reacher-v2"} 
r,l,t
-80.187084,50,17.017108
-93.566014,50,17.079596
-95.648801,50,17.251428
-97.969904,50,17.313915
-85.938388,50,17.3764
-83.810699,50,17.445251
-79.774323,50,17.513485
-89.218852,50,17.578315
-102.795391,50,17.64314
-99.693383,50,17.709961
-91.002149,50,17.774787
-83.275185,50,17.834769
-104.024985,50,17.89729
-91.604669,50,17.959773
-101.080276,50,18.022261
-101.217086,50,18.084744
-86.366117,50,18.147234
-78.06439,50,18.209714
-71.685611,50,18.272202
-107.410275,50,18.350308
-93.760829,50,18.41276
-98.69536,50,18.475245
-90.922014,50,18.543134
-54.19282,50,18.607962
-96.229322,50,18.673818
-64.778626,50,18.739642
-90.925704,50,18.794563
-89.39842,50,18.857083
-98.062445,50,18.919568
-97.190792,50,18.997641
-82.198151,50,19.060158
-84.915074,50,19.122612
-85.753789,50,19.185129
-67.053126,50,19.247618
-95.076882,50,19.310102
-111.753245,50,19.37259
-95.030638,50,19.435072
-88.007441,50,19.510205
-85.814215,50,19.574988
-93.350629,50,19.639815
-84.301185,50,19.706669
-79.408162,50,19.771496
-70.639245,50,19.835324
-85.698624,50,20.000753
-87.488112,50,20.063238
-66.103891,50,20.125723
-67.349803,50,20.193466
-67.832376,50,20.255984
-70.534679,50,20.318437
-100.504487,50,20.380924
-99.481034,50,20.443441
-69.952818,50,20.517617
-86.288976,50,20.582477
-85.580849,50,20.6483
-91.893847,50,20.715121
-90.079606,50,20.780945
-82.279183,50,20.843201
-73.149822,50,20.90569
-76.735254,50,20.968172
-99.772146,50,21.030626
-76.516641,50,21.09311
-89.277032,50,21.155595
-62.654299,50,21.218101
-85.867647,50,21.280602
-75.998929,50,21.343084
-99.22288,50,21.42119
-85.54596,50,21.486083
-84.5825,50,21.550886
-88.098001,50,21.615737
-80.690471,50,21.681527
-70.39288,50,21.732527
-76.801526,50,21.810598
-82.207248,50,21.873116
-85.810393,50,21.935569
-97.954182,50,21.998086
-75.884196,50,22.060571
-107.147408,50,22.123057
-97.638215,50,22.185543
-97.168155,50,22.247995
-86.612802,50,22.31048
-87.176772,50,22.372999
-91.083401,50,22.451073
-65.221284,50,22.515819
-69.557098,50,22.581642
-70.486455,50,22.751032
-60.643231,50,22.813485
-79.508437,50,22.875971
-76.748242,50,22.945513
-70.022597,50,23.008
-83.955316,50,23.070485
-83.565174,50,23.13297
-70.36016,50,23.195456
-87.53077,50,23.257941
-68.98863,50,23.320426
-67.473269,50,23.382911
-114.173897,50,23.461018
-87.318346,50,23.527558
-79.31667,50,23.591387
-89.747443,50,23.657212
-60.303326,50,23.724033
-82.596539,50,23.78498
-76.143735,50,23.847465
-88.98156,50,23.90995
-76.140355,50,23.972437
-77.749706,50,24.034922
-65.720079,50,24.097408
-95.735314,50,24.159893
-81.453624,50,24.237999
-75.104801,50,24.300484
-83.996177,50,24.36297
-58.419555,50,24.425455
-83.778778,50,24.494301
-61.584903,50,24.559128
-71.716674,50,24.623954
-80.072223,50,24.690775
-69.033658,50,24.755602
-94.088051,50,24.822424
-88.68406,50,24.881371
-88.228209,50,24.943856
-76.161166,50,25.006341
-84.269851,50,25.068827
-89.841528,50,25.131312
-81.41169,50,25.193798
-89.798628,50,25.256283
-90.053211,50,25.318768
-78.392674,50,25.500117
-107.681813,50,25.568966
-86.977818,50,25.634758
-86.300334,50,25.70261
-71.735769,50,25.767435
-72.643338,50,25.826764
-88.611866,50,25.889248
-68.048729,50,25.951733
-81.975779,50,26.014218
-63.933604,50,26.076673
-80.60927,50,26.139188
-83.036334,50,26.201643
-67.444937,50,26.27975
-72.993016,50,26.342234
-85.266142,50,26.404763
-68.183942,50,26.467206
-62.919511,50,26.536102
-88.491452,50,26.60196
-87.545995,50,26.666785
-76.453921,50,26.73361
-73.337131,50,26.798434
-79.450543,50,26.860092
-91.573179,50,26.922582
-89.921248,50,26.985031
-66.036619,50,27.047549
-99.906237,50,27.110035
-74.113921,50,27.17252
-84.104918,50,27.235005
-81.274018,50,27.297492
-78.206353,50,27.359975
-75.728343,50,27.422461
-82.392601,50,27.50238
-77.674086,50,27.567206
-70.475365,50,27.631023
-91.858473,50,27.699855
-82.292936,50,27.764679
-68.275064,50,27.828454
-60.946266,50,27.890942
-60.321666,50,27.953425
-86.52848,50,28.015913
-75.974423,50,28.078397
-76.268878,50,28.250231
-68.529825,50,28.312716
-75.267222,50,28.375201
-62.937727,50,28.442757
-76.613696,50,28.506975
-65.133936,50,28.572807
-100.034166,50,28.637625
-83.888962,50,28.705445
-64.769821,50,28.771269
-56.436269,50,28.836097
-84.08921,50,28.893372
-65.22404,50,28.955861
-64.670214,50,29.018347
-68.152446,50,29.080831
-66.245885,50,29.143314
-83.785439,50,29.205801
-64.107909,50,29.283906
-82.083391,50,29.346393
-74.012451,50,29.408877
-68.740238,50,29.471365
-96.846504,50,29.542218
-62.504308,50,29.608075
-70.089848,50,29.671904
-64.32726,50,29.734797
-78.984564,50,29.812905
-64.93203,50,29.875425
-69.954459,50,29.93791
-84.268339,50,30.000396
-75.291101,50,30.062879
-82.917918,50,30.125367
-83.572466,50,30.18785
-74.934119,50,30.250337
-80.355471,50,30.328443
-68.548674,50,30.390928
-73.397739,50,30.453414
-65.040112,50,30.522025
-63.980439,50,30.58685
-78.53033,50,30.652676
-73.39321,50,30.719494
-92.130429,50,30.783332
-86.542869,50,30.847937
-78.856799,50,31.00415
