# {"t_start": 1596459736.7439277, "env_id": "InvertedDoublePendulum-v2"} 
r,l,t
35.820789,4,2.180669
36.198745,4,2.187618
45.160459,5,2.194632
35.479583,4,2.200584
36.006187,4,2.207597
35.833347,4,2.213582
45.040948,5,2.220563
26.867229,3,2.225517
44.892421,5,2.232533
26.819342,3,2.238519
35.355329,4,2.243504
44.732297,5,2.251448
35.740483,4,2.257465
36.105088,4,2.263449
91.280176,10,2.278413
45.311373,5,2.285359
26.858747,3,2.290345
54.660948,6,2.299354
64.005359,7,2.309325
82.297308,9,2.32329
35.54723,4,2.328277
54.770329,6,2.337259
54.039944,6,2.346228
45.347429,5,2.354206
63.336372,7,2.363188
45.014959,5,2.371128
82.468605,9,2.384093
54.552766,6,2.393101
26.755676,3,2.398092
54.082073,6,2.407031
35.733303,4,2.413049
26.872117,3,2.417037
45.638959,5,2.425017
44.980321,5,2.432997
45.151305,5,2.439944
54.685037,6,2.447958
64.08933,7,2.458929
54.573462,6,2.466907
45.061779,5,2.474895
45.689499,5,2.482903
26.802315,3,2.4869
45.190917,5,2.49487
54.265314,6,2.503845
26.822573,3,2.508833
36.134928,4,2.514818
35.693203,4,2.520801
54.264598,6,2.529763
63.764038,7,2.539752
72.731035,8,2.551686
45.388975,5,2.559705
63.950084,7,2.570674
35.793631,4,2.576652
26.694622,3,2.580681
82.223685,9,2.593648
44.924185,5,2.601624
45.021487,5,2.610603
26.811141,3,2.614592
54.495913,6,2.623566
36.019671,4,2.629554
36.105599,4,2.635501
35.503851,4,2.641517
45.202819,5,2.649496
45.135756,5,2.656477
91.619065,10,2.670407
44.830455,5,2.678418
35.358204,4,2.684368
45.282219,5,2.692381
36.009986,4,2.698367
45.357145,5,2.705345
35.560593,4,2.71133
45.279543,5,2.718281
82.379263,9,2.732273
36.041007,4,2.739255
44.984142,5,2.746239
54.614843,6,2.755213
35.693821,4,2.761197
54.075951,6,2.770178
36.033423,4,2.776156
35.518451,4,2.78214
35.906674,4,2.788092
35.424177,4,2.794111
54.001111,6,2.804049
63.600711,7,2.814054
26.787168,3,2.819011
45.079769,5,2.826023
44.629258,5,2.833008
45.210044,5,2.840977
82.061872,9,2.853943
35.268344,4,2.8599
45.326593,5,2.867895
63.610741,7,2.877885
26.858757,3,2.882325
35.672944,4,2.888309
45.154191,5,2.8953
53.868681,6,2.908257
26.966423,3,2.913244
82.061429,9,2.926209
54.224993,6,2.935149
73.189071,8,2.946155
54.529701,6,2.95613
54.359393,6,2.964109
35.973796,4,2.970059
35.971186,4,2.978036
35.17161,4,2.985017
54.641016,6,2.994025
54.478234,6,3.002971
64.098377,7,3.013974
44.7641,5,3.020954
36.02751,4,3.026937
63.879955,7,3.036914
54.894209,6,3.04589
36.080826,4,3.051839
44.909643,5,3.059818
26.835831,3,3.06484
26.835569,3,3.068794
36.253145,4,3.074811
36.011355,4,3.080804
35.594417,4,3.087775
45.458232,5,3.094757
45.048609,5,3.101704
54.686372,6,3.111712
35.53809,4,3.117696
63.695097,7,3.127636
44.729302,5,3.135647
35.610064,4,3.141633
44.79534,5,3.148614
35.234375,4,3.154597
45.432543,5,3.162575
36.126584,4,3.168527
44.517866,5,3.17654
45.022042,5,3.183521
73.337037,8,3.19549
44.838512,5,3.202469
63.91158,7,4.227299
35.558819,4,4.233252
54.196777,6,4.243223
45.290404,5,4.251363
45.158363,5,4.258342
73.034084,8,4.270279
91.5901,10,4.285271
26.751737,3,4.290226
54.366856,6,4.299235
63.837059,7,4.309206
82.102619,9,4.323171
35.681813,4,4.329154
45.155403,5,4.336145
35.982263,4,4.343108
72.667243,8,4.354087
45.149628,5,4.361036
26.881563,3,4.366055
63.623307,7,4.376029
44.870272,5,4.382976
73.248711,8,4.394943
35.590384,4,4.400929
45.09664,5,4.40894
54.457257,6,4.417916
45.272838,5,4.425862
63.679598,7,4.436833
26.74742,3,4.440854
119.115216,13,4.459772
54.368069,6,4.46775
35.782997,4,4.474766
72.946447,8,4.485702
54.361052,6,4.49471
63.918722,7,4.504653
45.497967,5,4.512663
63.797622,7,4.52162
54.527935,6,4.530617
64.046827,7,4.540555
45.080811,5,4.547569
54.625065,6,4.55751
82.705227,9,4.570475
44.919043,5,4.578488
54.400321,6,4.586466
54.896209,6,4.595409
35.941878,4,4.601425
35.793684,4,4.608406
54.0039,6,4.617349
36.056697,4,4.623334
53.921329,6,4.632343
44.873791,5,4.640321
109.627379,12,4.657276
73.097482,8,4.668248
54.237376,6,4.677192
63.657998,7,4.688162
35.510305,4,4.694177
45.109033,5,4.701159
45.35563,5,4.709138
45.124982,5,4.716121
45.186939,5,4.724064
64.01058,7,4.734071
63.20501,7,4.744011
45.302975,5,4.752022
35.816296,4,4.757974
44.929359,5,4.764955
64.23847,7,4.775962
91.05997,10,4.789889
35.874239,4,4.795907
45.150839,5,4.802888
62.648871,7,4.813858
