# {"t_start": 1596457697.7324684, "env_id": "Ant-v2"} 
r,l,t
-148.567658,44,48.266173
-3336.718223,1000,50.864945
-220.17179,72,51.064413
-180.859103,51,51.18509
-324.636734,104,51.43466
-90.232181,25,51.50045
-290.521471,67,51.671027
-103.088803,34,51.749793
-319.259476,119,52.023093
-138.030173,61,52.164718
-61.325133,19,52.202615
-241.261797,64,52.337255
-71.917206,29,52.392075
-49.349746,13,52.417043
-105.354495,24,52.462918
-206.683251,43,52.546664
-30.274168,11,52.569636
-37.318548,11,52.59254
-80.975447,23,52.639447
-357.778935,106,52.888845
-232.595125,51,52.992105
-247.009138,58,53.106281
-134.587555,38,53.180367
-332.749214,101,53.383579
-197.559651,85,53.5464
-174.795372,45,53.635194
-244.725611,77,53.784531
-343.926918,88,53.969557
-226.070518,54,54.076238
-107.396274,24,54.123145
-87.78059,28,54.175007
-119.293449,45,54.25978
-46.970836,11,54.283684
-59.556278,23,54.33259
-122.268534,36,54.523077
-72.683924,23,54.567957
-324.40015,100,54.753465
-113.138413,45,54.843219
-54.554617,21,54.886072
-52.730047,16,54.926963
-182.69616,53,55.031129
-372.478963,102,55.222139
-112.627294,30,55.276693
-52.477753,14,55.306027
-145.315689,51,55.404197
-906.788079,230,55.841233
-284.153198,86,56.000945
-34.039841,12,56.023122
-235.035628,60,56.138966
-233.345158,65,56.26301
-26.323676,10,56.284977
-116.683969,32,56.350043
-3401.059912,1000,58.288008
-114.851969,33,58.351839
-217.507132,70,58.602141
-178.719833,58,58.708853
-124.448148,46,58.794623
-60.604912,23,58.84394
-92.26746,26,58.892634
-174.63931,72,59.025725
-191.501527,48,59.116234
-110.309391,47,59.203081
-229.399494,69,59.360033
-200.457038,56,59.476986
-218.183398,66,59.605124
-90.502856,47,59.703829
-114.474093,51,59.809579
-76.543882,15,59.84349
-31.821962,15,59.875404
-124.508972,42,59.956187
-271.358231,72,60.095818
-28.234829,9,60.112768
-160.441908,49,60.205449
-140.44518,32,60.265546
-365.277331,88,60.446069
-580.364615,177,60.777001
-230.646632,66,60.907951
-235.857605,83,61.074474
-108.223077,21,61.113402
-71.811748,18,61.147311
-116.624077,31,61.205773
-78.29663,39,61.277984
-237.147234,73,61.415468
-200.20278,57,61.520473
-166.613124,46,61.614156
-49.719947,14,61.644063
-268.804686,90,61.829542
-226.93299,62,61.963217
-57.715422,16,61.995132
-237.916103,61,62.115809
-157.662641,41,62.195595
-3236.99364,1000,64.240366
-83.672843,28,64.294224
-113.538188,27,64.346117
-38.966332,9,64.363073
-187.858523,52,64.459812
-133.378486,39,64.531621
-441.375668,152,64.825837
-144.497674,43,64.906626
-119.477258,38,64.977504
-46.084412,13,65.002433
-161.453601,50,65.107124
-58.106992,20,65.146055
-73.897183,20,65.185947
