# {"t_start": 1596454802.745585, "env_id": "Walker2d-v2"} 
r,l,t
-1.300477,16,5.005748
-2.082746,9,5.021369
2.057188,18,5.052611
-5.301061,16,5.068233
-3.852813,9,5.083855
-2.136226,12,5.099476
-1.219457,11,5.115097
-0.662485,13,5.146339
-2.80705,12,5.161962
-2.018079,12,5.177583
-6.294818,7,5.177583
-1.786606,9,5.193204
-6.605324,9,5.208826
-6.584243,9,5.224447
-6.032736,12,5.240068
-1.104458,12,5.25569
-1.44378,14,5.271311
-8.891576,10,5.286932
-5.961617,10,5.302553
-5.565793,9,5.318175
0.906399,10,5.333796
-7.629149,13,5.349418
-6.59444,14,5.365039
-6.316384,12,5.38066
-7.047149,13,5.411902
-3.405075,10,5.427524
-0.59011,14,5.443146
-2.557581,10,5.458767
-10.299416,12,5.474388
-0.166492,9,5.49001
-4.615076,8,5.49001
-1.759776,16,5.521251
-8.541412,12,5.536873
3.259906,17,5.568116
-2.677539,11,5.583493
-1.856737,15,5.605434
-3.99455,11,5.621392
1.739874,14,5.641338
-4.623767,8,5.653306
-10.437489,13,5.672256
-2.522787,7,5.682229
-2.885635,7,5.694197
-2.70275,13,5.713146
-1.129552,12,5.730101
-4.687222,7,5.741071
-0.096,14,5.761019
-1.841721,10,5.769112
-5.41187,11,5.784734
-0.746451,12,5.800355
-3.953424,10,5.815977
-4.478589,10,5.831598
-1.520094,13,5.847219
-6.95706,9,5.86284
-5.811132,16,5.878462
-5.976749,21,5.909703
-2.066438,12,5.925326
-2.739697,7,5.940947
1.786246,15,5.956569
-1.269813,12,5.97219
2.721113,13,6.003432
-1.817722,13,6.019054
-4.53058,9,6.034675
-2.6152,7,6.034675
-0.323707,11,6.050297
-6.55298,15,6.081539
0.566618,16,6.097161
-3.496712,8,6.112782
-4.458307,14,6.128403
-2.333255,13,6.144025
-9.042514,12,6.159646
-5.070063,7,6.175267
0.717884,13,6.190889
-5.476224,13,6.20651
-3.364326,14,6.237752
-2.356249,9,6.253374
2.559661,16,6.268996
-9.178472,14,6.284617
-8.191519,9,6.300238
-11.679323,20,6.331481
-1.861172,12,6.347102
-3.825802,11,6.362724
-4.32314,9,6.378345
-3.929756,11,6.393966
-3.897525,7,6.393966
3.763348,16,6.425208
0.989256,13,6.440831
-1.803637,14,6.456452
-1.090729,14,6.487694
-4.258769,13,6.503316
-11.835927,18,6.534558
-2.197486,12,6.55018
-3.355714,17,6.577242
0.872613,17,6.601178
-2.877415,9,6.61514
-4.967626,10,6.629103
-2.408394,15,6.651044
-2.558751,17,6.781695
-4.031889,11,6.79865
-2.308747,14,6.818707
