# {"t_start": 1596453386.6760395, "env_id": "Hopper-v2"} 
r,l,t
30.126963,48,8.72004
12.327893,15,8.766913
16.83495,19,8.831083
35.859563,36,8.909191
36.163639,39,8.987298
32.415518,32,9.034195
7.637548,10,9.049786
23.260545,38,9.112309
7.151875,17,9.12789
33.738619,32,9.174791
4.203086,13,9.206031
17.887987,23,9.237273
25.175601,30,9.284136
56.263541,63,9.377864
39.337015,47,9.46247
11.717985,17,9.487403
30.347301,27,9.527297
45.62844,52,9.613036
27.120287,36,9.665198
21.729563,23,9.699075
11.208505,19,9.729991
20.328534,22,9.767923
21.773814,21,9.799839
44.949279,43,9.861673
10.649976,17,9.886574
38.129161,39,9.938631
11.045659,29,9.969875
14.874559,27,10.016771
11.202954,16,10.032393
34.474912,36,10.094845
7.502696,9,10.094845
38.66904,36,10.157366
34.729204,35,10.204229
13.935878,23,10.235471
15.021484,20,10.266714
12.629464,20,10.297923
13.657875,26,10.335768
24.812943,29,10.379653
12.733971,21,10.41057
13.308702,20,10.441519
5.347934,11,10.458478
50.049846,52,10.533001
13.506917,14,10.552979
17.23401,38,10.593343
7.692651,13,10.608965
33.617657,33,10.796171
27.486874,38,10.86103
65.608771,78,10.973727
35.935598,46,11.029954
6.197702,9,11.05432
44.970811,55,11.127194
10.75527,20,11.158435
21.649803,20,11.174057
21.757064,26,11.220887
14.843875,26,11.252164
11.062711,17,11.283407
37.485372,38,11.330269
6.437944,20,11.361515
145.525914,112,11.502073
19.687344,31,11.548968
42.313396,51,11.611455
8.391526,22,11.657061
9.710975,21,11.685945
72.355241,73,11.791663
109.153811,82,11.905391
17.655631,17,11.928297
15.067965,17,11.948418
73.068699,67,12.057802
50.572503,56,12.135875
45.139094,46,12.19836
62.770029,56,12.292123
22.718784,33,12.323364
35.895158,37,12.385817
28.257573,24,12.417093
16.049252,24,12.448335
109.9293,77,12.557684
38.976847,45,12.620138
21.490591,23,12.65911
10.244365,13,12.677063
55.897906,75,12.783813
9.625201,21,12.813698
22.216084,27,12.852628
25.208471,24,12.89149
15.119029,21,12.92244
21.917599,27,12.960306
72.799584,84,13.076497
13.848332,31,13.107704
53.813036,53,13.185843
14.121106,30,13.23271
94.270169,56,13.310782
72.441766,67,13.40451
13.245029,19,13.435753
80.410198,76,13.529517
25.039643,30,13.576379
30.948768,42,13.623242
7.971154,11,13.654263
93.804462,65,13.847714
106.755632,74,13.949475
91.120088,53,14.019162
17.491925,18,14.034819
85.054247,53,14.112925
113.394049,70,14.206655
85.001754,53,14.284759
154.98565,127,14.456596
57.472329,36,14.503426
38.44131,44,14.565943
76.475384,46,14.62843
58.049676,36,14.67947
83.944911,49,14.75028
122.565008,80,14.859954
48.359078,58,14.940772
70.132569,42,14.998585
59.317604,37,15.046993
150.37883,132,15.218829
75.69213,64,15.312557
128.814769,85,15.421906
86.088991,50,15.484386
54.580725,55,15.562498
17.13134,24,15.593708
146.438153,81,15.720855
26.298062,41,15.783698
58.283109,61,15.872459
21.789159,34,15.919846
31.176232,33,15.951086
10.356345,13,15.982326
83.536135,50,16.04478
74.203169,46,16.107297
19.941327,26,16.15413
84.061153,51,16.216615
74.209062,46,16.2791
112.052447,82,16.388481
58.507147,56,16.46659
45.095827,40,16.529073
38.340409,46,16.591529
117.096214,83,16.817285
5.078863,15,16.839226
20.254106,19,16.865156
10.924396,15,16.8861
92.1758,61,16.969323
86.998613,51,17.031809
66.07614,41,17.094295
98.147407,64,17.172401
88.267204,51,17.250508
68.816735,44,17.312993
131.304254,95,17.437964
124.142385,68,17.531693
113.816475,87,17.651426
80.315948,46,17.715255
8.682293,18,17.743181
94.152273,53,17.815986
41.955258,46,17.879815
63.751689,40,17.935666
24.393619,27,17.972568
83.967488,50,18.035505
88.777411,56,18.113612
111.59685,61,18.191718
7.418298,10,18.207341
30.160425,46,18.269825
76.646035,46,18.33231
56.994832,59,18.410417
73.993812,83,18.519766
121.038671,73,18.613494
64.012948,40,18.684032
71.38429,43,18.74487
94.193471,56,18.821665
119.668014,123,18.979669
58.773069,35,19.026533
119.892428,71,19.120261
79.323878,51,19.198368
100.116716,61,19.276475
75.269041,48,19.33896
81.973397,48,19.401445
66.610153,41,19.46393
19.007807,17,19.495173
86.157078,50,19.666075
65.941858,40,19.720929
82.853675,50,19.793733
86.266977,60,19.877511
84.922959,50,19.946327
67.368297,41,19.9983
13.000495,16,20.013927
68.740131,46,20.076409
8.536371,10,20.092031
20.960636,30,20.138895
77.406692,49,20.20138
99.345153,56,20.279487
71.368808,42,20.341973
9.41922,12,20.357594
144.370257,105,20.498185
268.209102,221,20.809792
80.085257,49,20.877611
107.527612,75,20.966505
59.778151,37,21.028993
71.376709,46,21.091479
77.258536,46,21.153964
44.162978,27,21.185207
62.121971,38,21.23207
56.563236,34,21.278935
82.489755,54,21.357041
68.743991,42,21.419526
95.480201,58,21.497634
51.989726,32,21.528877
30.12745,44,21.591362
78.311018,46,21.666035
89.031965,80,21.777736
86.090893,50,21.838724
90.901339,53,21.916833
80.232815,47,21.979318
58.42981,35,22.026182
84.740986,64,22.104289
60.783536,38,22.166774
13.974398,16,22.182398
95.823158,66,22.276124
58.764053,35,22.322988
70.298345,43,22.385474
63.289182,38,22.432338
50.966214,31,22.572963
80.247742,56,22.662668
83.433001,48,22.731485
73.898175,44,22.794351
106.305339,58,22.8751
68.983479,43,22.935106
61.825757,38,22.981936
67.766586,40,23.0288
99.974902,65,23.122527
63.490105,39,23.185048
97.664344,66,23.263153
114.914646,76,23.372502
74.486649,45,23.434989
46.992485,28,23.466208
103.025079,60,23.559959
49.604632,30,23.591205
57.145967,35,23.652389
68.554945,41,23.708238
58.830272,36,23.761097
86.341215,51,23.831908
56.553389,36,23.881743
59.106128,36,23.931609
78.465113,48,23.985668
74.43944,46,24.048121
58.459358,36,24.11064
45.16505,27,24.141881
58.094125,35,24.188746
81.148423,48,24.251232
87.515655,50,24.329338
65.058668,39,24.37617
81.223098,49,24.438656
90.250664,56,24.516763
60.000311,36,24.563659
78.122477,47,24.642141
50.674858,30,24.684062
70.362065,42,24.743901
47.468183,29,24.784794
91.638655,60,24.867573
92.527416,53,24.941341
88.890854,52,25.004044
61.119919,36,25.050912
151.629615,95,25.1915
61.986723,38,25.238361
65.017157,40,25.300851
107.135193,65,25.488275
64.19614,38,25.535139
82.729461,50,25.613246
90.046083,52,25.686781
67.66353,42,25.746622
52.59355,31,25.789507
64.137459,40,25.84436
102.779922,65,25.93412
97.470208,55,25.995049
106.861601,60,26.088776
70.313221,42,26.13564
108.487943,64,26.229368
56.510381,34,26.276233
83.309976,62,26.354339
57.988315,35,26.416825
15.93032,17,26.432447
42.011211,25,26.463689
72.322785,43,26.526174
87.728823,50,26.58866
59.097162,36,26.649843
95.933847,55,26.733619
50.561087,30,26.775507
65.443434,40,26.83036
99.58475,55,26.906157
123.111693,68,26.999022
74.212203,43,27.045889
80.287336,66,27.139617
96.627633,67,27.233345
102.563668,58,27.311452
102.036136,60,27.389559
93.622066,54,27.467666
34.904769,29,27.498908
61.127536,36,27.545773
59.391356,35,27.592636
97.880558,56,27.684798
20.59692,22,27.715716
57.969109,35,27.765583
85.217824,51,27.835396
98.086758,67,27.929145
103.57437,58,27.997411
39.16459,23,28.028654
47.055075,28,28.075518
115.889503,66,28.153625
93.572205,55,28.231731
81.673229,48,28.403566
57.686564,36,28.450428
54.321073,34,28.497326
92.333854,57,28.575433
106.104943,58,28.666335
100.306004,62,28.753106
102.303831,60,28.835883
92.180747,53,28.909688
84.27114,52,28.981495
102.586576,57,29.04678
46.038902,27,29.093675
112.630669,61,29.171792
100.138647,58,29.249892
95.875677,54,29.327998
94.778392,54,29.406103
65.68966,40,29.452968
97.869224,63,29.531074
140.5669,78,29.651753
93.862778,53,29.724555
110.74426,66,29.816277
55.968098,33,29.862154
82.685973,50,29.919559
76.721028,45,29.982042
111.911749,66,30.07577
105.623144,58,30.153877
104.269286,59,30.231981
120.172839,65,30.325711
63.926037,38,30.372576
118.271845,67,30.466308
99.670118,56,30.544428
103.146187,59,30.622518
103.278062,60,30.711323
37.415214,32,30.758229
77.829387,64,30.845963
69.644805,43,30.905837
106.657845,61,30.985823
156.349406,81,31.095173
47.211686,28,31.126415
90.256843,52,31.204522
121.16625,65,31.391947
109.14002,61,31.485675
111.024002,65,31.570521
114.60505,63,31.662265
125.064602,74,31.765988
147.375789,77,31.872702
75.20888,52,31.94451
109.014025,60,32.019766
119.691525,69,32.113494
114.113477,66,32.207222
151.183339,90,32.332192
98.139874,57,32.410301
135.277647,71,32.504028
134.338993,69,32.597756
94.989178,53,32.674898
111.833375,63,32.763661
127.922084,68,32.858408
156.665762,80,32.963911
54.075573,39,33.010775
37.726712,30,33.05764
100.995535,58,33.135747
108.844466,67,33.229475
147.14379,80,33.338825
99.185869,57,33.416932
150.449905,90,33.541901
69.952445,42,33.604387
44.630829,33,33.650948
105.963565,61,33.736719
124.364366,67,33.829471
120.37598,73,33.931199
132.302851,73,34.029387
132.76355,73,34.123115
129.325345,72,34.331481
125.83453,67,34.42521
126.071029,69,34.525373
138.520896,73,34.619135
151.42156,83,34.745871
136.216193,73,34.836027
113.360899,65,34.929755
160.487881,84,35.0391
121.829779,73,35.148456
138.584943,78,35.242181
141.599588,78,35.351531
143.954636,76,35.46088
88.371129,58,35.538991
184.304236,94,35.673929
152.254782,82,35.789622
67.410216,46,35.838661
111.06296,60,35.932422
66.058992,39,35.979287
123.698158,66,36.073015
80.185356,55,36.151124
154.864321,84,36.260473
124.607764,69,36.354199
113.751631,62,36.432305
105.087558,60,36.526002
152.735405,79,36.635385
110.267001,64,36.723636
71.960421,42,36.784507
149.384408,79,36.888356
143.309627,78,36.99774
171.561375,89,37.216438
161.198434,87,37.325788
93.805343,56,37.409937
172.253933,91,37.534907
121.895685,70,37.628615
138.547673,75,37.74239
147.080259,82,37.855088
178.771272,88,37.970218
132.023342,73,38.06398
124.216271,71,38.157708
175.789092,112,38.313921
124.338379,72,38.407643
110.389262,64,38.501344
175.819025,98,38.626316
130.775751,82,38.758187
168.278282,84,38.874877
168.389582,83,38.988711
172.873736,87,39.098093
145.154358,75,39.207443
187.966462,95,39.332414
166.385043,92,39.457384
146.089646,86,39.566702
135.251076,76,39.68309
140.540937,76,39.789837
148.825864,94,39.919458
143.33493,75,40.120382
164.42536,92,40.245354
137.390483,82,40.362126
133.0967,70,40.455853
172.489168,89,40.580825
188.319924,119,40.752531
218.46138,118,40.918088
156.11256,87,41.030234
148.044845,81,41.139583
121.800266,83,41.248933
200.675268,105,41.389525
148.970933,83,41.514495
162.485322,90,41.641827
148.325937,84,41.761507
172.375336,101,41.900135
58.116616,40,41.955987
150.621005,83,42.059824
138.699861,77,42.169173
121.585734,68,42.262902
114.50632,61,42.341008
200.241508,100,42.4816
154.019569,84,42.59095
161.571136,79,42.711483
72.388249,43,42.773317
167.047064,94,42.995466
175.18233,94,43.136089
210.27574,106,43.282084
192.828297,113,43.422709
212.127517,112,43.578923
48.806223,30,43.625785
169.202562,100,43.771428
158.060479,99,43.903913
193.650812,105,44.044508
186.437027,100,44.185099
171.774471,103,44.325689
181.00785,97,44.450659
200.891687,116,44.606872
184.384912,105,44.76416
203.627033,112,44.917748
135.586332,80,45.016971
208.486229,106,45.157561
78.325547,46,45.23567
184.359116,99,45.36064
200.794431,117,45.516854
216.101165,119,45.692099
66.887199,40,45.750974
185.719404,113,46.004071
217.42535,116,46.167588
193.276494,106,46.30818
186.262033,108,46.448771
169.054088,96,46.589365
95.54285,65,46.682547
107.057878,64,46.767768
218.412965,130,46.939603
198.244575,120,47.111437
251.251731,161,47.330136
209.319047,121,47.486349
200.980719,111,47.646032
209.158314,121,47.814581
199.911437,101,47.953211
236.820319,145,48.138794
118.062544,71,48.248145
169.704914,90,48.357493
72.865807,50,48.4356
93.52447,61,48.513706
193.698646,109,48.742864
226.956787,132,49.038786
